sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_md_1635163415.327","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635163415.420066",1,"UI:Search",0,1635163416,0,0,failed,"88.85900000000001",,,,,,,,,,,,,,,,,,,,
"rt_md_1635163652.349","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635163652.345968",1,"UI:Search",0,1635163653,0,0,canceled,"3.103",,,,,,,,,,,,,,,,,,,,
"1635163655.351","search source=""listings.csv"" | stats avg(price) by  neighbourhood | sort by avg(price) | reverse","DESKTOP-7BRP32B","1635163655.983217",0,"UI:Search",22076,1635163656,215,22076,completed,"0.273","1635076800.000000000","1635163655.000000000","1635076800.000000000","1635163655.000000000",,,,,,,,,,,,,,,,
"1635163677.352","search source=""listings.csv"" | stats avg(price) by  neighbourhood | sort by avg(price) | reverse","DESKTOP-7BRP32B","1635163677.571166",0,"UI:Search",36923,1635163677,223,36923,completed,"0.327","1634558877.000000000","1635163677.000000000","1634558877.000000000","1635163677.000000000",,,,,,,,,,,,,,,,
